utt_id,emotion,session,wav_path
Ses01F_impro01_F000,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav
Ses01F_impro01_F001,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav
Ses01F_impro01_F002,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav
Ses01F_impro01_F005,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav
Ses01F_impro01_F012,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav
Ses01F_impro01_F014,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav
Ses01F_impro01_M011,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav
Ses01F_impro01_M013,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav
Ses01F_impro02_F000,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav
Ses01F_impro02_F001,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav
Ses01F_impro02_F002,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav
Ses01F_impro02_F003,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav
Ses01F_impro02_F004,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav
Ses01F_impro02_F005,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav
Ses01F_impro02_F006,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav
Ses01F_impro02_F008,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav
Ses01F_impro02_F010,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav
Ses01F_impro02_F012,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav
Ses01F_impro02_F013,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav
Ses01F_impro02_F014,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav
Ses01F_impro02_F015,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav
Ses01F_impro02_F016,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav
Ses01F_impro02_F017,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav
Ses01F_impro02_F018,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav
Ses01F_impro02_F019,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav
